Target,Target Aliases,Therapeutic Area,Development Phase,Exclusive Partership,Pharmacodia ID,Launched Drugs
CFI,"CFI,AHUS3,C3BINA","Inflammation and Autoimmunity,Neuroscience",F1(+/-),No,,
CGRP,"CGRP,CALC1,CGRP1","Neuroscience,Metabolism",F0,No,1310451640410575058,0
CHODL,"CHODL,MT75,PRED12",Oncology,F0,No,13564115619516916892,0
Claudin 18.2,Claudin 18.2,Oncology,In vitro,No,08048810814188916426,0
CLDN3,"CLDN3,RVP1,CPETR2",Oncology,F1(+/-),No,,
CLDN4,"CLDN4,CPER,WBSCR8",Oncology,F1(+/-),No,,
CLEC12A,"CLL1,CD371,CLEC12A",Oncology,Immunization,Yes,91619997677283916180,0
CLEC14A,"CEG1, EGFR-5, C14orf27","Oncology,Ophthalmology,Neuroscience,Inflammation and Autoimmunity,Metabolism",F0,No,,
CLEC9A,"CLEC9A,CD370, DNGR1",Oncology,F1(+/-),No,,
CLU,"CLU,APOJ,SGP2",Oncology,F0,No,92936647445121916406,0
CMKLR1,"CMKLR1,",Inflammation and Autoimmunity,F1(+/-),No,02182427203042916418,0
CNGB1,"CNGB1,GARP2",Ophthalmology,F1(+/-),No,1328506731923252012,0
CRCP,"CRCP,CGRPRCP",Neuroscience,F0,No,,
CRIg,"CRIg,CRIg,Z39IG","Others,Infectious Diseases",F0,No,,
CRTAM,"CRTAM,CD355",Oncology,F1(+/-),No,,
CRTH2,"CRTH2,PTGDR2",Inflammation and Autoimmunity,Antibody screening,No,92929137379010916612,0
CSF2RA,"CSF2RA,CD116,CSF2R",Inflammation and Autoimmunity,F1(+/-),No,1328506731923251929,0
CX3CL1,"CX3CL1,CXC3C",Inflammation and Autoimmunity,F2(-/-),No,00430643659703916543,0
CX3CR1,"CX3CR1,GPR13,CMKDR1",Cardiovascular,F2(-/-),No,31578053968180916274,0
CXCL10,"CXCL10,IFI10,INP10",Inflammation and Autoimmunity,F1(+/-),No,40159407503969916221,0
CXCL13,"CXCL13,BLC,ANGIE","Oncology,Inflammation and Autoimmunity,Infectious Diseases",F1(+/-),No,,
CXCL4,"CXCL4,PF-4,CXCL4","Oncology,Others",F1(+/-),No,,
CXCR2,"CD182,IL8RB,CXCR2","Oncology,Inflammation and Autoimmunity",F2(-/-),No,96193414205365916874,0
CXCR3,"CD182,CD183,CXCR3","Oncology,Inflammation and Autoimmunity",Antibody screening,No,64973103667172916313,0
CXCR5,"BLR1,CD185,CXCR5","Oncology,Inflammation and Autoimmunity",Immunization,No,17756226822117916860,0
CXCR6,"CXCR6,CD186,STRL33",Inflammation and Autoimmunity,F0,No,,
DDR1,DDR1,"Oncology,Cardiovascular",F0,No,1345983138974662830,0
DKK2,DKK-2,Oncology,F1(+/-),No,,
DR5,"DR5,CD262,TNFRSF10B",Oncology,F1(+/-),No,38804715200151916797,0
DR6,"DR6, CD358, BM-018",Inflammation and Autoimmunity,F1(+/-),No,77045814622244916138,0
EDA1,"EDA1,HED,TNLG7C","Reproductive System Diseases,Oncology,Urological Diseases,Inflammation and Autoimmunity",F0,No,,
EFEMP1,"EFEMP1,DHRD,MLVT",Oncology,F1(+/-),No,,
EFNA3,"EFNA3,EFL2,EPLG3",Oncology,F0,No,,
EGFL6,"W80, MAEG",Oncology,F0,No,,
EMP2,"EMP2,XMP",Oncology,F0,No,,
ENTPD2,"ENTPD2,",Oncology,F1(+/-),No,,
EPHA2,"EPHA2,ECK,CTRCT6",Oncology,F1(+/-),No,09703215307519916974,2
EPHA3,"EPHA3,EK4,TYRO4",Oncology,F0,No,23781858800383916625,0
EPHA5,"EPHA5,EK7,TYRO4",Oncology,F1(+/-),No,,
EPHB2,"EPHB2,DRT,EK5",Oncology,F1(+/-),No,,
EREG,"EREG,ER,Ep,EPR","Oncology,Urological Diseases,Metabolism",F1(+/-),No,27848295371568916331,0
EVA-1,EVA-1,Oncology,F0,No,,
FAP,FAP,Oncology,Antibody screening,No,46816161531326916133,0
FCGR1,CD64,"Oncology,Inflammation and Autoimmunity",Immunization,No,93074488256362916590,0
FCRL5,"FCRL5,CD307,IRTA2",Oncology,F0,No,1306110757150130278,0
FcRn,"FcRn,FCGRT",Inflammation and Autoimmunity,F1(+/-),No,74162531070476916983,0
FFAR1,"FFA1R, GPCR40, GPR40",Metabolism,F0,No,51954379428262916870,0
FGF2,"FGF2,BFGF,FGFB",Oncology,F0,No,14298893426153916280,2
FGF21,FGF21,Metabolism,F1(+/-),No,34575248282844916742,0
FGFR4,"FGFR4, JTK2,CD334",Oncology,F1(+/-),No,56200896022390916811,2
FGL-1,FGL-1,Oncology,F2(-/-),No,1310451640410575030,0
FLT3,"FLT3,FLK2,CD135","Oncology,Inflammation and Autoimmunity",F2(-/-),No,73668506199811916254,10
FZD10,"FZD10,Fz10,CD350",Oncology,F1(+/-),No,41931322576240916462,0
FZD4,"FZD4,Fz4,EVR1",Oncology,F0,No,,
Gal,"Gal,ETL8,GALN",Inflammation and Autoimmunity,F0,No,,
GAL1,"GAL1,GBP,GAL1","Oncology,Others",F1(+/-),No,45253600802508916253,0
GARP,"GARP,LRRC32","Oncology,Inflammation and Autoimmunity",F1(+/-),Yes,03698177911445916578,0
GAS6,"GAS6,AXSF,AXLLG","Oncology,Urological Diseases",F1(+/-),No,38190059166070916730,0
GAST,"GAST,GAS","Oncology,Others",F1(+/-),No,37125347824900916309,0
GCGR,GCGR,Metabolism,In vitro,No,30266526516741916336,5
G-CSFR,G-CSFR,"Inflammation and Autoimmunity,Oncology,Others,Cardiovascular",F0,No,82657388042681916136,96
GDF15,"GDF15,PDF,MIC1","Oncology,Others",F1(+/-),No,54646920064862916489,0
GFRA3,"GFRA3,GDNFR3","Oncology,Others",F0,No,06737525847430916949,0
GHR,"GHR,GHBP,GHIP","Metabolism,Oncology,Inflammation and Autoimmunity,Infectious Diseases",F0,No,48043772932177916620,0
GITR,GITR,Oncology,F1(+/-),No,23250019070616916796,0
GITRL,"GITRL,TL6,AITRL",Metabolism,F0,No,,
GLP1R,"GLP1R,GLP-1",Metabolism,F1(+/-),No,03801258456684916217,12
GM-CSF,"GM-CSF,CSF2","Oncology,Inflammation and Autoimmunity",F0,No,82280785182307916413,0
GP100,"GP100,SIL,ME20",Oncology,F1(+/-),No,12713442303282916135,0
GP1BB,"GP1BB,BS,CD42C","Oncology,Others",F1(+/-),No,07397251683454916479,0
GP6,"GPIV, GPVI, BDPLT11","Cardiovascular,Oncology,Others",F0,No,69027844122285916667,0
GPA,"GPA,PAS-2,CD235a",Cardiovascular,F1(+/-),No,,
GPA33,GPA33,Oncology,F1(+/-),No,63536745839153916590,0
GPC-1,GPC-1,Oncology,F0,No,91035999751416916187,0
GPC3,"GPC3,OCI-5,GTR2-2",Oncology,F0,No,30973073884855916687,0
GPR77,"GPR77,C5AR2",Oncology,F2(-/-),No,1310451640410575032,0
GPR84,"GPR84,EX33,GPCR4",Inflammation and Autoimmunity,F1(+/-),No,37972375419378916562,0
GPRC5D,GPRC5D,Oncology,F2(-/-),No,22424155011510916836,0
GRP,"GRP,GRP-10,proGRP","Oncology,Infectious Diseases",F0,No,68469461003699916334,0
GUCY2C,"GUCY2C,STAR,MECIL",Oncology,F0,No,55819445450384916845,1
HGFA,"HGFA,HGFA","Oncology,Inflammation and Autoimmunity,Others",F1(+/-),No,,
HPN,"HPN,TMPRSS1",Oncology,F1(+/-),No,19345387793593916461,0
ICOS,"ICOS,CD278",Oncology,F2(-/-),No,18985413768736916312,0
IFNAR1,"IFNAR1,AVP,IFNBR","Inflammation and Autoimmunity,Urological Diseases",F0,No,29829875523264916973,4
IFNB1,"IFNB1,IFNB,IFN-beta",Inflammation and Autoimmunity,F0,No,43924804952673916842,3
IFNG,"IFNG,IFG,IFI","Inflammation and Autoimmunity,Infectious Diseases",F2(-/-),No,15561814756739916782,5
IGFBP-3R,IGFBP-3R,Oncology,F1(+/-),No,,
IL10,IL-10,"Oncology,Inflammation and Autoimmunity",Immunization,No,71351630127021916862,0
IL10RA,IL-10RA,Inflammation and Autoimmunity,F0,No,1310451640410575034,0
IL11,IL11,"Oncology,Infectious Diseases",F1(+/-),No,1310451640410575060,0
IL11RA,"IL11RA,CRSDA","Oncology,Infectious Diseases",F0,No,19685317757960916760,9
IL12,IL12,"Inflammation and Autoimmunity,Neuroscience",F0,No,,
IL12B,"IL12B,CLMF,NKSF",Inflammation and Autoimmunity,F2(-/-),No,87453896485585916299,0
IL12RB1,"IL12RB1,CD212",Inflammation and Autoimmunity,F1(+/-),No,,
IL13,IL13,Inflammation and Autoimmunity,F2(-/-),No,96693969738336916784,0
IL13RA1,IL13RA1,"Oncology,Inflammation and Autoimmunity",F1(+/-),No,1310451640410574949,0
IL13RA2,"IL13RA2,IL-13R,IL13BP",Inflammation and Autoimmunity,F0,No,01579470033279916559,0
IL15,IL15,"Oncology,Inflammation and Autoimmunity",F0,No,57822612170208916231,0
IL17A,"IL17A,CTLA-8",Inflammation and Autoimmunity,F2(-/-),No,44464211505840916206,3
IL17B,IL17B,Oncology,F1(+/-),No,,
IL17F,IL17F,Inflammation and Autoimmunity,F2(-/-),No,31828099555148916285,0
IL17RA,IL-17RA,Inflammation and Autoimmunity,F1(+/-),No,88942008418766916988,1
IL17RB,"IL17RB,CRL4,EVI27","Oncology,Inflammation and Autoimmunity",F1(+/-),No,,
IL18,"IL18,IL1F4,IGIF",Inflammation and Autoimmunity,F1(+/-),No,97865375327357916545,0
IL18BP,"IL18BP,FVHa","Oncology,Inflammation and Autoimmunity",F1(+/-),No,1310451640410575062,0
IL18RA,"IL18RA,CD218a","Oncology,Inflammation and Autoimmunity",F0,No,1310451640410575064,0
IL18RAP,"IL18RAP,IL18RB","Oncology,Inflammation and Autoimmunity",F1(+/-),No,,
IL1A,IL-1a,"Oncology,Inflammation and Autoimmunity",Immunization,No,08446898862424916684,1
IL1B,IL-1b,"Oncology,Inflammation and Autoimmunity",F2(-/-),No,63602013038599916337,5
IL1R,"IL-1R1,IL1Ra,CD121a","Oncology,Inflammation and Autoimmunity",F0,No,55328561551078916213,2
IL-1R2,IL-1R2,Oncology,F0,No,,
IL1RAP,"IL-1RAP,IL1RAP,IL1R3","Oncology,Inflammation and Autoimmunity",F2(-/-),No,1310451640410575036,0
IL20,"IL-20,IL10D,ZCYTO10",Inflammation and Autoimmunity,F1(+/-),No,90544556903243916298,0
IL20R1,"IL20R1,CRF2-8,IL-20R1","Oncology,Gastrointestinal",F1(+/-),No,,
IL21,IL21,Inflammation and Autoimmunity,Antibody screening,No,04681502849961916923,0
IL21R,"IL21R,NILR,CD360",Inflammation and Autoimmunity,F2(-/-),No,47482556424049916274,0
IL22,"IL-22,ILTIF,IL-D110","Oncology,Inflammation and Autoimmunity",F2(-/-),No,44976656254571916243,0
IL22RA,"IL22RA1,CRF2-9,IL22R",Inflammation and Autoimmunity,F1(+/-),No,1310451640410575066,0
IL23A,"IL23,IL-23A,IL23P19",Inflammation and Autoimmunity,F1(+/-),No,33192063159190916307,1
IL23R,IL-23R,Inflammation and Autoimmunity,F2(-/-),Yes,54604055145346916427,1
IL25,"IL17E,IL25",Inflammation and Autoimmunity,F2(-/-),No,1310451640410575038,0
IL27,IL27,Oncology,F1(+/-),No,72487432709784916718,0
IL27R,IL27R,Inflammation and Autoimmunity,F0,No,,
IL2RA,"p55,CD25,IL2R,","Oncology,Inflammation and Autoimmunity",F1(+/-),No,91020535233631916244,4
IL2RB,CD122,"Oncology,Inflammation and Autoimmunity",Immunization,No,82849458975896916632,0
IL3,IL3,"Inflammation and Autoimmunity,Others",F1(+/-),No,08840337181487916474,0
IL31,IL31,Inflammation and Autoimmunity,Immunization,No,1310451640410575068,0
IL31RA,IL31RA,Inflammation and Autoimmunity,F2(-/-),No,1310451640410575040,0
IL33,IL33,Inflammation and Autoimmunity,F2(-/-),No,17049336557942916698,0
IL34,"IL34,IL-34,C16orf77","Oncology,Inflammation and Autoimmunity,Others",F1(+/-),No,,
IL36R,"IL-36R,IL1RL2",Inflammation and Autoimmunity,F2(-/-),No,69953000040696916967,0
IL3RA,"IL3RA,IL3R,CD123","Oncology,Others,Inflammation and Autoimmunity",F1(+/-),No,83545398982601916199,1
IL4,IL4,Inflammation and Autoimmunity,F1(+/-),No,42983332049452916554,0
IL4RA,"IL4RA,IL4R",Inflammation and Autoimmunity,In vitro,No,05191137118987916544,1
IL5,IL5,Inflammation and Autoimmunity,F1(+/-),No,29461854685250916363,2
IL5R,"IL5R,CD125",Inflammation and Autoimmunity,F1(+/-),No,02158733726351916942,1
IL6,"IL-6,BSF-2,IFNB2","Oncology,Inflammation and Autoimmunity",F2(-/-),No,34841917747295916806,5
IL6R,IL-6RA,Inflammation and Autoimmunity,F0,No,21598965952541916934,3
IL7RA,IL7RA,"Inflammation and Autoimmunity,Oncology,Metabolism",F0,No,43797324723715916953,0
IL9,IL9,"Infectious Diseases,Inflammation and Autoimmunity,Oncology",F1(+/-),No,76518613518206916854,0
ILDR2,"ILDR2,C1orf32,dJ782G3.1",Oncology,F0,No,81250318573104916378,0
ITGA7,ITGA7,Oncology,F1(+/-),No,,
ITGAL,"ITGAL,CD11A,LFA-1",Inflammation and Autoimmunity,F1(+/-),No,26974522861770916621,2
ITGB6,"ITGB6,AI1H","Oncology,Inflammation and Autoimmunity",Immunization,No,1310451640410575042,0
ITGB7,ITGB7,Inflammation and Autoimmunity,F1(+/-),No,1310451640410575070,0
JAM-A,JAM-A,"Oncology,Cardiovascular",F0,No,,
KCNA3,"KCNA3,HGK5,PCN3",Inflammation and Autoimmunity,F1(+/-),No,35534835410254916311,0
KLKB1,"KLKB1,PKK,KLK3","Inflammation and Autoimmunity,Others,Cardiovascular,Orthopaedic Disorders,Infectious Diseases,Metabolism",F1(+/-),No,36396781272719916198,0
KREMEN2,"KREMEN2,KRM2",Oncology,F1(+/-),No,,
L1CAM,"L1CAM,SPG1,CD171",Oncology,F0,No,1310451640410575044,0
LAG-3,LAG-3,Oncology,F2(-/-),No,13590665151072916995,0
LAMA4,"LAMA4,LAMA3,CMD1JJ",Oncology,F1(+/-),No,,
LEPR,"LEPR,OBR,CD295","Metabolism,Infectious Diseases,Neuroscience",F0,No,01419095333417916110,0
LGALS3,"LGALS3,L31,GAL3",Oncology,F0,No,29395335620494916980,0
LGALS3BP,"LGALS3BP,M2BP,gp90",Oncology,F0,No,,
LGALS9,"LGALS9,HUAT,LGALS9A","Oncology,Infectious Diseases",F0,No,,
LGMN,"LGMN,AEP,LGMN1",Oncology,F0,No,,
LGR6,"LGR6,GPCR,VTS20631",Oncology,F1(+/-),No,,
LIF,"CDF, DIA, HILDA, MLPLI",Oncology,F0,No,77985483390350916833,0
LIGHT,"LIGHT,CD258,HVEML",Inflammation and Autoimmunity,F1(+/-),No,31645456493265916792,0
LIGHTR,LIGHTR,Inflammation and Autoimmunity,F0,No,,
LINGO-1,LINGO-1,"Neuroscience,Inflammation and Autoimmunity,Ophthalmology",F0,No,55964799397868916279,0
LIV-1,LIV-1,Oncology,F0,No,25984551399914916903,0
LRIG1,LRIG1,Oncology,F0,No,,
LRP5,"LRP5,HBM,LR3","Oncology,Ophthalmology",F0,No,,
