Target,Target Aliases,Therapeutic Area,Development Phase,Exclusive Partership,Launched Drugs
SPP1,"SPP1, OPN, BNSP","Oncology,Inflammation and Autoimmunity",F0,No,2
TNFSF15,"TNFSF15, TL1, VEGI",Inflammation and Autoimmunity,F0,No,1
AGR-2,"AGR-2, GOB-4, HAG-2","Oncology,Inflammation and Autoimmunity",F0,No,0
ASCT2,"ASCT2, ATBO, M7VS1",Oncology,F0,No,0
BSPII,"BSP, BNSP, BSPII",Oncology,F0,No,0
CD166,"MEMD, CD166","Oncology,Inflammation and Autoimmunity",F0,No,1
CLDN4,"CLDN4, CPER, WBSCR8",Oncology,F0,No,0
IL20,"IL-20, IL10D, ZCYTO10",Inflammation and Autoimmunity,F0,No,1
IFNB1,"IFNB1, IFNB, IFN-beta",Inflammation and Autoimmunity,F0,No,21
CD23,"CD23, FCE2","Oncology,Inflammation and Autoimmunity",F0,No,3
PRLR,"PRLR, HPRL, MFAB","Oncology,Reproductive System Diseases",F0,No,5
OSMR,"OSMR, IL-31R-beta","Oncology,Inflammation and Autoimmunity",F0,No,0
KIR,"KIR, KIR3DL1",Oncology,F0,No,0
CX3CL1,"CX3CL1, CXC3C",Inflammation and Autoimmunity,F0,No,1
CD80,"CD80, B7-1, CD28LG","Oncology,Inflammation and Autoimmunity",F0,No,15
CD15,"CD15, FCT3A, FUTIV","Oncology,Inflammation and Autoimmunity",F0,No,0
CCL5,"CCL5, SCYA5, RANTES",Inflammation and Autoimmunity,F0,No,2
CCL24,"CCL24, Ckb-6, MPIF2","Inflammation and Autoimmunity,Metabolism,Infectious Diseases",F0,No,1
EPHA3,"EPHA3, EK4, TYRO4",Oncology,F0,No,1
GUCY2C,"GUCY2C, STAR, MECIL",Oncology,F0,No,4
LRP5,"LRP5, HBM, LR3","Oncology,Ophthalmology",F0,No,0
TNFRSF25,"TNFRSF25, DDR3, TRAMP","Oncology,Inflammation and Autoimmunity",F0,No,0
CXCL13,"CXCL13, BLC, ANGIE","Oncology,Inflammation and Autoimmunity,Infectious Diseases",F0,No,0
EMP2,"EMP2, XMP",Oncology,F0,No,0
GRP,"GRP, GRP-10, proGRP","Oncology,Infectious Diseases",F0,No,4
LGALS9,"LGALS9, HUAT, LGALS9A","Oncology,Infectious Diseases",F0,No,0
TREM1,"TREM1, CD354, TREM-1","Oncology,Inflammation and Autoimmunity",F0,No,1
IFNAR1,"IFNAR1, AVP, IFNBR","Inflammation and Autoimmunity,Urological Diseases",F0,No,5
TSLPR,"CRL2, TSLPR, CRLF2Y",Inflammation and Autoimmunity,F0,No,0
ILDR2,"ILDR2, C1orf32, dJ782G3.1",Oncology,F0,No,1
CD54,"BB2, CD54, P3.58","Oncology,Inflammation and Autoimmunity",F0,No,13
TLR4,TLR4,"Inflammation and Autoimmunity,Infectious Diseases,Gastrointestinal",F0,No,20
TLR2,TLR2,"Inflammation and Autoimmunity,Infectious Diseases,Gastrointestinal,Oncology",F0,No,8
TEM1,"TEM1, CD164L1",Oncology,F0,No,1
MFGE8,"MFGE8, BA46, HMFG, ","Oncology,Neuroscience,Ophthalmology",F0,No,0
